Name,Height,FederalStateid
Breitenberg,970,4
Brandstein,741,8
Salcherberg,1025,8
Tannberg,918,4
Imitzberg,1104,4
Scheiblingstein,2052,8
Großer Warschenberg,1295,8
Kalbling,2014,8
Kleeriedel,1127,8
Höllensteinberg,638,5
Vierjochkogel,649,5
Buchkogel,634,5
Badner Lindkogel,578,5
Schober,1512,8
Wirtsspitz,1969,8
Seyfriedberg,1317,8
Steinermandl,1951,8
Schleifkogel,1879,8
Hohes Kampeck,1326,3
Rettenzink,2265,3
Geißstein,2056,3
Tristinger,2134,3
Königsstuhl,2336,3
Peilstein,1947,3
Hohe Kammer,2531,3
Kleiner Tenn,2641,3
Kastenegg,2647,2
Figerhorn,2657,2
Radingberg,613,4
Tamberg,1494,4
Hutberg,1167,4
Mitterberg,1538,4
Zamseggerkogel,941,4
Sattelkoppen,1983,8
Schönberg,1810,8
Zoderberg,1802,8
Schafberg,1727,8
Leistenstein,1433,8
Kirchdorfberg,1305,8
Glatzeck,997,4
Gstättenberg,670,4
Brennetgupf,670,4
Vorderer Raucher,1609,8
Hinterer Raucher,1547,8
Schafberg,1273,8
Kufberg,706,4
Lauffner Berg,526,4
Pötschenstein,1077,8
Tauern,969,4
Hoher Rosenkogel,1218,4
Mitterberg,1101,4
Feuerkogel,1276,4
Hoher Raschberg,1276,4
Ahornkogel,1368,8
Tressenstein,959,8
Dimmelberg,969,8
Gosaueck,1120,4
Rauer Koppen,1572,8
Hoher Koppen,1285,4
Hohe Sieg,1082,4
Hageneck,1239,4
Tauernkogel,1947,3
Zetzenbergkogel,671,3
Gschirrhörndl,1690,3
Klobner Kopf,2187,3
Kirchstein,2001,3
Hirschkogel,1413,3
Feuersengköpfl,688,3
Frommer Kogel,1635,3
Ladenberg,1708,3
Schwarzkogel,1307,3
Schwarzenegg,1521,3
Ochsenkopf,1428,3
Gamskarkogel,1888,3
Plattenkopf,907,3
Torsäule,2649,3
Buchberg,827,3
Gamsleitenkopf,1896,3
Faistalkopf,1470,3
Tiefentalköderl,1569,3
Brennerköpfl,1216,3
Oberes Gründeck,1259,3
Filzkogel,1715,3
Zederbergkopf,1208,3
Grindkogel,1739,3
Sonntagskogel,1739,3
Kitzsteinhörndl,1790,3
Tennkogel,1618,3
Eßkopf,1618,3
Schober,2037,3
Sandkogel,2037,3
Schiedreitspitz,2037,3
Luxkogel,1801,3
Zirmstein,1620,3
Penkkopf,1981,3
Zwieselkopf,1503,3
Austuhl,1907,3
Hochegg,1907,3
Arlspitze,1907,3
Urkübl,1886,3
Gasteiner Höhe,1717,3
Hörndl,1505,3
Karriedel,1871,3
Schwalbenfelsen,403,5
Binderberg,318,5
Gerichtsberg,452,5
Hohe Sulz,382,5
Gollitsch,248,5
Schafberg,473,5
Arzberg,469,5
Hufnagelberg,475,5
Kreuzberg,488,5
Kirchberg,512,5
Kreuzberg,497,5
Goggitschberg,471,5
Kohlberg,489,5
Prutzenberg,425,5
Halterberg,536,5
Hoher Punkt,549,5
Scheibenkogel,528,5
Buchberg,505,5
Klumetzberg,469,5
Wetzlesberg,535,5
Jasweinberg,510,5
Zemmendorfer Berg,519,5
Schlagberg,524,5
Jungfrauenberg,581,5
Speisenberg,473,5
Hoher Stein,539,5
Amerexel,592,5
Pyhringer Höhe,676,5
Loosberg,632,5
Predigtstuhl,714,5
Satzling,628,5
Galgenberg,531,5
Schloßberg,522,5
Kalkberg,594,5
Hoher Stein,666,5
Pyramide,647,5
Mühlberg,645,5
Gerichtsberg,545,5
Harlüßberg,485,5
Steinberg,590,5
Burgstallberg,585,5
Neuteichberg,612,5
Birkenberg,545,5
Buchberg,577,5
Lußberg,545,5
Galgenberg,583,5
Hausberg,581,5
Hofbauernberg,581,5
Hoher Berg,550,5
Machoberg,545,5
Teichberg,531,5
Hörmannsberg,557,5
Teichberg,557,5
Haselberg,557,5
Schindelberg,652,5
Sengerberg,436,8
Harrachberg,324,8
Grubberg,392,8
Reithberg,439,8
Berghanselberg,301,8
Traubenberg,409,8
Wagenhoferberg,379,8
Mayerhanselberg,379,8
Lamberg,381,8
Hamberg,413,8
Bloderberg,310,8
Tontelberg,332,8
Keberberg,361,8
Labillberg,334,8
Jahrbachberg,341,8
Asselberg,281,8
Ascherlberg,293,8
Klompfenberg,281,8
Droschenberg,344,8
Nesselbachberg,320,8
Höfberg,297,8
Grillberg,293,8
Steinberg,383,8
Salzwipfel,315,8
Tostlereck,377,9
Karlhöhe,356,8
Kogelegg,376,8
Zotterberg,348,9
Kalchberg,341,9
Schneiderkogel,383,9
Rotterberg,348,9
Hochwartkogel,269,8
Schirrenkogel,313,8
Rosenberg,389,8
Nägelsdorfberg,250,8
Königsberg,399,8
Bärenloch,1967,10
Schneeberg,2252,4
Niederer Gjaidstein,2252,4
Niederer Dachstein,2518,4
Hohe Stuhl,1729,8
Haxberg,1697,8
Miesberg,1919,8
Scheiblingstein,1997,8
Mitterstein,1997,8
Tor,2055,3
Sonnwendkogel,1486,8
Kreuzleiten,1107,8
Aicher Stein,1352,8
Hirnberg,1352,8
Kufstein,1706,8
Luserriedel,1647,8
Sinabell,2128,8
Kampspitze,2128,8
Mitterstein,2104,8
Eselstein,2104,8
Hohe Rams,2499,8
Rössingkogel,1075,8
Duregg,1547,8
Sattelberg,1004,8
Rittissberg,1451,8
Saumerberg,1018,8
Schwarzkogel,1655,8
Freiberg,1601,8
Gruberberg,1685,8
Kreuzberg,2133,8
Rauhenberg,2133,8
Silbersteinberg,1745,8
Kahrberg,1745,8
Lahnberg,1097,8
Pulverturm,1924,8
Bärnriesenberg,1018,8
Berstenhofberg,1459,8
Vorderer Wildkarstein,2182,8
Sonntagkarzinken,2132,8
Weitgaßbretter,1719,8
Greifenstein,2317,8
Hinterer Wildkarstein,2248,8
Rauhenberg,1834,8
Krukeck,2176,8
Sauberg,2176,8
Engelkarspitze,2147,8
Deichselspitze,2214,3
Roßkogel,2210,3
Alterkogel,2473,3
Rotsandspitze,2125,3
Scharnrock,2125,3
Samerkogel,1906,3
Blutspitze,2439,3
Schusterstuhl,2250,3
Silvrettahorn,3104,1
Grübelekopf,2861,10
Zwölfernock,1940,6
Zwölferkopf,2514,2
Zwölferhorn,1496,3
Zwillingwand,2024,3
Zwillingskogel,1302,4
Zwiesel Berg,1041,4
Zwiesel Berg,1218,5
Zwergenberg,1220,2
Zwerfenberg,2452,8
Zunder Kopf,1772,2
Zuckerhütl,3272,2
Zuberbach,346,9
Zottachkopf,1800,6
Zopetspitz,3066,2
Zollnerhöhe,1860,6
Zöbelboden,799,4
Zlatten Berg,926,8
Zlannock,902,6
Zitterauer Tisch,2274,3
Zischken,2214,3
Zirmenkopf,2709,1
Zirleseck,1745,2
Zirlerberg,1277,2
Zirbitzkogel,2376,8
Zippelkogel,988,4
Zinsberg,1359,2
Zinödl Berg,1138,8
Zinödl,2026,8
Zinnenberg,1502,10
Zinkenspitzen,2405,2
Zinken Kogel,1813,8
Zinken,950,8
Sorgschrofen,1319,10
Seckauer Zinken,2152,8
Zingerstein,1893,2
Ziethenkopf,1889,6
Zickenberg,1747,3
Zettersfeld,2199,2
Zepsspitze,2437,3
Zeneberg,1909,6
Zemseck,825,4
Zeitschenberg,1258,4
Zeiseleck,1043,8
Zeiritzkampel,1667,8
Zeindlkopf,1665,2
Zeigerberg,2341,2
Zehnerkarspitze,1680,3
Zehneranger,1162,8
Zeckerleiten,949,4
Zechnerschlag Kogel,1378,8
Zechnerhöhe,1864,6
Zechnereck,1642,8
Zeberer Alpe,1101,8
Zargenkopf,1612,8
Zarfelkogel,1318,6
Zähne,2015,2
Zagel Kogel,2003,8
Wurzerkampl,1576,4
Würflingerhöhe,2127,8
Wonnekopf,2164,2
Wölzer Tauern,1474,8
Wolscheneck,1695,8
Wöllaner Nock,2121,6
Wölkerkogel,1545,8
Wolfsberg,1094,4
Wolfödhöhe,439,5
Monte Volaia,2311,10
Woising,1733,8
Wohntal Hocheck,1071,8
Winterstaude,1856,1
Winsaberg,775,5
Winkelalpel,574,2
Windhagkogel,1297,4
Windgrube,1724,8
Windegg,1148,8
Windberg,773,8
Wildspitze,3720,2
Wildseeloder,1908,2
Wildnörder,2675,2
Wildkogel,2069,3
Wildkarkopf,1551,3
Wildkarkogel,1827,3
Wildhorn,2115,6
Wildgrat,2640,2
Wildgerlosspitze,3193,3
Wildfeld,1553,8
Wilder Mann,2500,2
Wilde Krimel,2280,2
Wildeggkogel,1485,8
Wildbühel,1755,3
Wildbach Alpe,1630,6
Wildalpe,1010,8
Wildalmrotkopf,2254,3
Wieslerhorn,1014,3
Wiesernock,1916,6
Wieserhörndl,1519,3
Wieselstein,2010,3
Wiesberg,773,5
Wieningsberg,659,5
Wienerhöhe,690,4
Wiegeneck,1967,8
Wiederschwing,1573,6
Wiedersberger Horn,2071,2
Wiedenberg,1105,8
Widderstein,2390,1
Weyerberg,1335,3
Wetzerleiten,1258,8
Wetzelstein,613,4
Wetterspitzen,2678,2
Wetter Kogel,1920,8
Wetterin,1038,8
Wetschkenkopf,1458,6
Wenzelalpe,1732,8
Wendlgupf,911,5
Wenderkogl,1767,2
Weitenberg,368,5
Parete Bianca,2974,10
Weisswände,1301,6
Weissstein,1487,2
Weißspitz,3230,2
Weißkugel,3677,2
Weisskogel,2540,2
Weißes Beil,2443,2
Weissenhöhe,643,4
Weisseneck,2130,3
Weisseck,903,4
Weisseck,2472,3
Weinschnabel,2442,3
Weinsberg,976,5
Weineben,1899,6
Weinberg,867,8
Weberkogel,1052,8
Waxriegel,1518,5
Waxeneck,682,5
Waxenberg,541,5
Wasserkopf,1421,4
Wasserfallspitze,2248,8
Wasenwand,2525,2
Waschberg,325,5
Großer Wartkopf,2387,3
Wartenstein,709,8
Warscheneck,2006,4
Wannig,2446,2
Wandl Kogel,1266,8
Wandaukogel,1205,8
Walzkogel,988,8
Walzkogel,940,8
Wallerberg,1590,2
Waldhorn,2466,8
Wagrainerhöhe,1939,3
Wagenbänkberg,1533,8
Wadecken,1685,6
Wachtberg,641,5
Wachholz,858,8
Wach Berg,863,5
Wabenriegel,1265,6
Woschza,1463,10
Vormauerstein,1008,4
Vorderunnutz,2025,2
Vorderlabeneck,1634,3
Vorderkogel,1809,3
Vordere Steinkar Spitze,2434,6
Vorderes Sonnwend Joch,2118,2
Vorderes Freieck,1737,3
Vorderer Zellerhut,1569,8
Vorderer Wilder,1500,10
Vorderer Schwarzmooskogel,1353,8
Vorderer Satzgrat,2849,2
Vorderer Findelkarkopf,1789,6
Vordere Rendlspitze,2542,2
Vordere Ölgrubenspitzen,3392,2
Vordere Leier,2431,6
Voralpe,1028,8
Voldöppberg,976,2
Vogelkarspitze,2424,2
Viehberg,950,4
Versettla,2352,1
Verbella Kopf,2404,1
Venetberg,2485,2
Veitschalpe,1777,8
Veitsberg,1483,2
Valschavielkopf,2491,1
Vallüla,2298,1
Valluga,2723,1
Valisera,1820,1
Valerie Höhe,618,5
Urlkogel,452,8
Urhammer Berg,739,4
Upsspitze,2156,2
Untere Wildgruben Spitze,2518,1
Unterer Traunstein,1764,3
Unterer Saubichl,486,5
Unterer Eisenkopf,2055,2
Unterberg,1150,5
Unterberg,827,2
Ulrichsberg,835,6
Ulreichsberg,1050,5
Übelskogel,886,6
Tyregg,889,5
Turntaler Kogel,1401,8
Turneralpe,1435,8
Turm Kogel,605,5
Turmkogel,1380,2
Turmberg,659,4
Turm,1541,8
Tulbinger Kogel,462,5
Tuklar,2263,1
Tschirgant,2293,2
Tschierweger Nock,2049,6
Tschiernock,1982,6
Tschekelnock,1833,6
Troppberg,433,5
Troiseck,1228,8
Creta di Aip,2072,6
Tristenwandkopf,2019,3
Tristen Spitze,2621,6
Tristenkopf,1143,2
Triebenstein,1274,8
Drosberg,1948,2
Trenchtling,1950,8
Treffauer,1761,2
Traunstein,1563,4
Tratten,1474,6
Tratt Berg,1333,3
Trainsjoch,1493,10
Trailing,924,4
Traidersberg,859,8
Trafel Berg,706,5
Totterfeld,381,8
Toter Mann,1075,8
Totenkarspitze,2974,2
Torstein,2055,3
Tor Spitze,2405,2
Törlspitzen,2059,10
Törlkopf,2170,6
Törlkopf,1582,6
Törle,1346,2
Falkenmauer,1425,4
Törl,1795,6
Torkofel,2148,6
Torhelm,2268,2
Torhelm,2388,2
Tonion,1167,8
Toneck,1332,8
Tommer,1031,8
Töllmar Kogel,1371,8
Toblermann,1964,1
Tischlerberg,342,9
Tiroler Kogel,1018,5
Tiefkarspitze,1736,2
Thurntaler,2325,2
Thulnkogel,2310,2
Theuerlnock,2127,6
Thaneller,2306,2
Thalerkogel,1376,8
Teufelstein,1208,8
Teufelsgrat,2612,2
Teuchlspitze,2057,6
Tettenhengst,780,5
Teichlberg,871,4
Tauernberg,1769,2
Tauchenberg,1564,6
Tauberbühel,783,6
Tannkoppen,1226,3
Tann Berg,1342,8
Tandl Kogel,743,8
Tandelspitz,2466,6
Tamischbachturm,1621,8
Talleitspitze,3345,2
Tagweide,2112,3
Taborberg,1174,3
Swickl Berg,380,9
Süßleiteck,2384,8
Sumpfkopf,2140,2
Sumpereck,1532,8
Sulzspitze,1740,2
Sulzkogl,2751,2
Sulzkogelmauer,943,8
Sulz Kogel,891,4
Sulzenhals,1701,3
Sulzberg,1041,4
Sulz Berg,727,5
Sulzberg,900,5
Stumpfmauer,1403,8
Stulperrast,2159,2
Stuhleck,1773,8
Stuckkogel,1550,2
Stubwieswipfel,1665,4
Stubnerkogel,2055,3
Stubeck,2352,6
Stubau,864,4
Stubalpe,1318,8
Stross,877,8
Stronachkogel,1805,6
Strimskogel,1723,3
Striedenkopf,2624,6
Streimlingberg,887,5
Strassboden,2209,6
Strahlkogl,2484,2
Stradner Kogel,613,8
Stotzing Berg,407,9
Kärntner Storschitz,1477,6
Storfhöhe,957,6
Stolzalpe,1651,8
Stoderzinken,1486,8
Stoder,2014,6
Stipennock,1986,6
Stimmelhöhe,1442,3
Stillkopf,2615,2
Stileck,1997,6
Stiftlberg,646,8
Stierjoch,1676,10
Stierhaltkogel,1282,5
Steyrsberg,973,4
Steyreck,1576,4
Sternstein,945,4
Sternspitze,1771,6
Sternbauer Kogel,594,8
Stempeljochspitze,2286,2
Stellkopf,2680,6
Steinwandleiten,635,5
Steinwand,807,8
Steinriegel,674,5
Steinplattl,652,5
Steinplatte,1630,2
Steinplan,1624,8
Steinplan,1472,8
Steinmandl,1172,8
Steinkopf,1992,6
Steinkogel,2076,3
Steinkarzinken,1918,8
Steinkarleck,2363,3
Steinhofer Kogel,782,5
Steinhaus,1292,8
Steinfeldspitze,1824,3
Steinerne Stiege,1473,8
Steineck,1381,4
Steineck,1281,8
Steinbergstein,1859,2
Steinbergkogel,1894,2
Steinberger Joch,1545,2
Steinberg,1432,4
Steinberg,928,8
Steigl Berg,660,4
Stefans Berg,331,5
Stawipfel,2477,6
Staufen,1426,1
Statzberg,571,5
Statz Berg,785,5
Starhand,1899,6
Stanziwurten,2340,6
Stanskogel,2377,2
Stangnock,2063,8
Stanglalpe,1050,8
Stangl,573,8
Stampferwand,1954,3
Stallonkofel,2011,6
Staffkogel,1899,3
Staff,1034,5
Staff,1992,6
Stadlberg,1157,5
Stadelstein,1962,8
Stadel Berg,792,9
Spitzstein,1334,2
Spitzplaneck,1566,4
Spitznock,1421,6
Spitzmauer,2390,4
Spitzkofel,2567,2
Spitzer Riegel,659,5
Spitzegg,1830,6
Spitzbrand,1415,2
Spindeleben,777,4
Spiessnägel,1671,2
Spießkogel,1588,8
Spiess,1416,2
Spielkogel,1847,3
Spiel Kogel,1548,3
Spielbichl,1957,2
Sperkerriegel,678,5
Spering,1562,4
Speikkogel,1567,8
Speikkogel,1601,8
Speikberg,2063,4
Speiereck,2352,3
Speiereck,2058,6
Speckkar Spitze,2561,2
Spateck,2136,8
Sparber,975,3
Spannkogel,1028,8
Spadenberg,999,4
Sonnwendstein,1351,5
Sonnwendberg,640,8
Sonntagsmauer,1349,4
Sonnstein Kogel,1533,8
Sonnstein,1582,6
Sonnspitze,1745,2
Sonnkogel,640,5
Sonnjoch,2420,2
Sonnen Spitze,2286,2
Sonnenjoch,1903,2
Sonnenberg,482,9
Stubacher Sonnblick,3017,2
Sonnblick,2439,6
Sonnblick,2471,6
Sonnberg,301,5
Sonnberg,924,4
Sonnberg,792,3
Somspitze,2101,3
Sommertor,1648,3
Sommer Berg,1077,8
Soboth,1334,8
Sneschnik,1537,6
Sittmooser Bach,889,6
Sitten Berg,283,5
Sinnesjoch,2194,2
Sinacher Gupf,1416,6
Simmering,1953,2
Guardia Alta,3389,10
Silvrettahorn,3104,10
Silbersberg,1212,8
Silberriegel,1067,4
Silberpfennig,2565,3
Silbereck,2538,3
Gmundnerberg,875,4
Siebenstein,1223,4
Siebenbürger Kogel,1101,8
Serneskopf,2322,2
Serkogel,1185,8
Senftenberg,2308,2
Selbhorn,2468,3
Seichenkopf,2553,6
Seespitz,1230,4
Seelakopf,2256,2
Seelackenberg,337,5
Seekopf,2054,2
Seekopf,1897,6
Seekogel,3150,2
Seekarspitze,2244,2
Seekarspitze,2295,3
Seekarspitze,2025,3
Seekarkopf,2763,2
Seehorn,2170,3
Seeberg,1338,8
Schwölleck Berg,895,5
Schwende,1126,1
Schweins Berg,332,5
Schwein Berg,670,5
Schweikertkopf,2788,2
Schwarzwipfel,1016,6
Schwarzwand,2211,6
Schwarzwaldkogel,1667,6
Schwarzriegel,1182,5
Schwarzkopf,2496,3
Schwarzkogel,1051,5
Schwarzkogel,1205,5
Schwarzkogel,649,4
Schwarzkogel,1286,8
Schwarzkogel,1171,8
Schwarze Wand,2159,2
Schwarzkogel,1730,2
Schwarzer Berg,1114,3
Schwarzen Berg,869,5
Schwarzenberg,846,5
Schwarzen Berg,993,5
Schwarzenberg,804,5
Schwarzenberg,1175,3
Schwarzenberg,1187,5
Schwarzenberg,1688,3
Schwarzenbach Berg,756,5
Schwarzeck,613,8
Schwarzeck,2499,3
Schwarzberg,608,4
Schwarzberg,350,5
Schwanspitze,2684,6
Schwalbenwand,1859,3
Schwalbenkofel,2115,6
Schwaiberghorn,1940,2
Schwager Bach,1280,8
Schwabenkopf,3299,2
Schützenkogel,1778,2
Schüttkogel,1760,8
Schüttenberg,192,5
Schusterkogel,2161,3
Schuhflicken,1907,3
Schrottkogel,548,6
Schrottenkogel,1123,8
Schroneck,2045,6
Schreindelmauer,988,4
Schreckenspitz,1929,2
Schrankogel,3461,2
Schrammacher Spitze,3388,2
Schramer Höhe,652,4
Schrakogel,775,8
Schrabachauerkogel,996,4
Schöpfl,889,5
Schönwieskopf,1703,3
Schönwetter,1835,8
Schönjöchl,1962,2
Schöngelitzhöhe,1532,3
Schönfeldjoch,1616,2
Schöneck,1187,4
Schönbodenhöhe,1004,5
Schönbichl,2023,2
Schönberg,1609,8
Schönalpe,1829,3
Schoibernberg,892,4
Schodenkopf,1611,3
Schöckl,869,8
Schobertörl,2378,6
Schoberstein,1244,4
Schoberspitz,2288,6
Schöberlberg,1521,8
Schoberkogel,1301,6
Schober Berg,895,5
Schober,1187,5
Schober,1290,3
Schober,1677,3
Schober,1729,8
Schober,2034,3
Schober,2846,6
Schneidjoch,1588,2
Schneiders,867,1
Schneider Joch,2097,2
Schneibstein,1947,3
Schneestellkopf,2290,6
Schneekogel,1172,5
Schneeberg,721,4
Schneeberg,1889,3
Schneealpe,1635,8
Schnappen Berg,969,2
Schnablwipfel,1699,4
Schnabelstein,711,5
Schmittenstein,1660,3
Schmittenhöhe,1950,3
Schmiednock,2287,6
Schmasskofel,2327,6
Schmalzkopf,2523,2
Schlierewand,1673,2
Schlierekopf,1928,2
Schlicke,1726,2
Schlichtspitze,1980,10
Schlenken,1634,3
Schleinitz,2865,2
Schleichkogel,1215,3
Schlappoltkopf,1906,10
Schlaitnerkofel,2477,2
Schlagriedel,1352,8
Schinninger,876,8
Schindtwald Berg,760,5
Schinder,1585,2
Schillereck,1707,4
Schildberg,315,5
Schiffall,918,8
Schiestelnock,1920,6
Schiessling,1482,8
Schießlkogel,335,8
Schießeck,1975,8
Schiefwegkogl,722,5
Schieferstein,1107,4
Schiedeck,2090,8
Schermberg,2403,4
Scherer Kogel,1043,8
Schellenberg,1658,3
Scheinoldstein,1051,4
Scheichenspitz,2499,8
Scheiblingstein,464,5
Scheiblingstein,1353,5
Scheibling Berg,1131,5
Scheibenriegel,357,9
Scheibenbühel Berg,1148,2
Scheiben Berg,836,5
Scheffauer,1290,2
Schefberg,698,4
Schaufelspitze,2036,8
Schatzbühel,2023,6
Schatzberg,1796,2
Schatterberg,1111,2
Scharrer Kogel,1268,4
Scharreck,2118,3
Scharnitzspitze,2342,2
Scharnik,2600,6
Schafreuter,2021,2
Schareck,3047,6
Schareck,2333,6
Schanitzentörl,1973,6
Schallenberg,913,4
Schafwände,1578,8
Schafsiedel,2064,2
Schafseitenspitze,2308,2
Schafkarkogel,2431,3
Schafeleck,2641,6
Schafberg,1755,3
Schafberg,2266,1
Schabernack,1126,8
Schaalenberg,2519,2
Sauwand,1088,8
Sauspitz,368,9
Saurüssel,1311,5
Saunock,2108,6
Säuleck,3036,6
Saukarkopf,1769,3
Saugrabenspitz,955,4
Sauernkogel,1430,8
Sauereggnock,1921,3
Saubügel,310,5
Sattlernock,1087,6
Sattelnock,1958,6
Sattelberg,721,8
Sankt Ulrichskopf,2523,2
Sandling,1475,8
Sandl,368,5
Sandberg,293,5
Salzstiegel,1580,8
Salzkofel,2222,6
Salzerkopf,1179,6
Salzburger Hochthron,1827,3
Brennerin,1585,4
Salzachgeier,2175,2
Sallapulka,481,5
Salberg,882,8
Saile,1912,2
Sagtalerspitze,2159,2
Sadning Kogel,1309,8
Sadnig,2529,6
Sachberg,354,5
Säbelspitz,2088,6
Rusteck,970,8
Russberg,1148,4
Runzelberg,863,5
Rudolfshöhe,468,5
Rudnig,2192,2
Rudiger Spitze,2066,2
Rotgsol,1539,4
Rotwand,1338,2
Rotündl Berg,1140,8
Rofelwand,3177,2
Rotkogel,1804,8
Rothorn,2046,1
Rothorn,1813,3
Rothorn,2502,6
Rote Wand,2645,1
Rote Spitze,1900,2
Roter Stein,1995,2
Roter Schroffen,2439,2
Roter Schragen,3027,2
Roter Knopf,2715,6
Rotenstein,868,5
Roter Kogel,2726,2
Rötelstein,1172,8
Rötelstein,2192,3
Rotbleisskopf,2829,2
Roßwandspitze,2627,2
Rossschopf,1613,4
Rossschopf,932,4
Rossmoos,1017,4
Roßlahnerkopf,2521,3
Rosskopf,1376,2
Rosskogel,1412,8
Rosskogel,1221,8
Rosskogel,3015,2
Rosskarkopf,2499,3
Rossgipfel,628,5
Rossfeld,1529,8
Rosseck,1225,8
Rossbrand,1608,3
Rossberg,1733,3
Rossbach Kogel,1675,8
Rosennock,2352,6
Rosenkogel,604,5
Rosenkogel,1031,8
Ronberg,1411,2
Rammlspitz,839,4
Römas Kogel,923,8
Roggelskopf,2132,1
Rofanspitze,2217,2
Röcker,1012,8
Ritterspitzen,2293,6
Ritterkopf,2764,3
Rippeteck,1485,3
Rinnkogel,1692,3
Ringkogel,973,5
Ringkogel,779,8
Ringkamp,1871,8
Rindernock,1541,6
Rifflerkar Spitze,3102,2
